;;;Interrupt;;;;Polling;
Bez;inc;Soll;Int LB 1;Int LB 2;Int LB 11-21;Int LB 12-22;Puls LB 1;Puls LB 2
Geschwindigkeit [km/h]:;117;188.5;195.77;192.86;197.61;195.48;199.69;196.96
Geschwindigkeit [km/h]:;118;188.5;201.87;193.43;193.82;188.2;198.47;195.03
Geschwindigkeit [km/h]:;119;188.5;189.47;193.43;190.57;193.4;204.26;195.03
Geschwindigkeit [km/h]:;120;188.5;195.18;193.43;197.18;195.91;197.56;195.03
Geschwindigkeit [km/h]:;121;188.5;188.92;192.86;194.65;197.61;198.62;195.03
Geschwindigkeit [km/h]:;122;188.5;195.77;192.86;195.48;193.4;197.56;202.82
Geschwindigkeit [km/h]:;123;188.5;195.77;192.86;196.75;194.65;204.09;194.89
Geschwindigkeit [km/h]:;124;188.5;195.18;192.86;192.99;191.37;191.29;194.89
Geschwindigkeit [km/h]:;125;188.5;201.87;193.43;197.18;191.37;198.77;195.77
Geschwindigkeit [km/h]:;126;188.5;189.47;192.86;190.17;192.58;191.43;196.96
Geschwindigkeit [km/h]:;127;188.5;201.87;192.86;195.91;189.77;198.47;201.56
Geschwindigkeit [km/h]:;128;188.5;189.47;192.86;193.82;196.33;198.47;194.89
Geschwindigkeit [km/h]:;129;188.5;189.47;187.28;195.06;193.4;204.09;194.89
Geschwindigkeit [km/h]:;130;188.5;201.87;186.74;200.66;189.77;192.43;196.07
Geschwindigkeit [km/h]:;131;188.5;189.47;192.86;192.58;195.06;191.29;202.82
Geschwindigkeit [km/h]:;132;188.5;189.47;192.86;194.23;196.75;204.26;194.89
Geschwindigkeit [km/h]:;133;188.5;195.77;192.86;195.91;193.82;197.56;188.78
Geschwindigkeit [km/h]:;134;188.5;189.47;192.86;192.99;195.48;192.28;194.89
Geschwindigkeit [km/h]:;135;188.5;195.18;192.86;192.99;191.37;197.56;196.96
Geschwindigkeit [km/h]:;136;188.5;195.18;192.86;195.91;194.23;197.56;189.61
Geschwindigkeit [km/h]:;137;188.5;195.77;199.38;192.18;194.65;198.47;195.77
Geschwindigkeit [km/h]:;138;188.5;201.87;192.86;196.75;190.57;199.69;194.89
Geschwindigkeit [km/h]:;139;188.5;195.18;193.43;196.33;195.06;198.62;196.07
Geschwindigkeit [km/h]:;140;188.5;195.18;192.86;197.61;195.91;197.56;194.89
Geschwindigkeit [km/h]:;141;188.5;195.18;193.43;193.82;192.58;197.56;201.56
Geschwindigkeit [km/h]:;142;188.5;195.18;186.74;195.91;189.77;191.15;194.89
Geschwindigkeit [km/h]:;143;188.5;195.77;192.86;197.61;195.48;198.62;194.89
Geschwindigkeit [km/h]:;144;188.5;195.77;199.38;190.97;193.4;197.56;196.07
Geschwindigkeit [km/h]:;145;188.5;201.87;193.43;197.18;191.37;204.26;195.92
Geschwindigkeit [km/h]:;146;188.5;195.18;200;189.38;192.58;198.47;195.77
Geschwindigkeit [km/h]:;147;188.5;195.18;192.86;195.91;194.23;205.23;189.61
Geschwindigkeit [km/h]:;148;188.5;201.87;199.38;192.99;191.37;193.29;196.07
